movie,movie_title,year,genreFirst,directorFirst
http://www.wikidata.org/entity/Q576877,Стать Джоном Ленноном,2009,музыкальный фильм,Сэм Тейлор-Вуд
http://www.wikidata.org/entity/Q744886,Нора,2000,фильм-драма,Пэт Мерфи
http://www.wikidata.org/entity/Q1653396,"Город грехов 2: Женщина, ради которой стоит убивать",2014,фильм-драма,Фрэнк Миллер
http://www.wikidata.org/entity/Q1168045,Сирена с «Миссисипи»,1969,неонуар,Франсуа Трюффо
http://www.wikidata.org/entity/Q2030365,Кровавая вечеринка,1982,фильм ужасов,Эми Холден Джонс
http://www.wikidata.org/entity/Q4140533,Глянец (фильм),2007,мелодрама,Андрей Сергеевич Кончаловский
http://www.wikidata.org/entity/Q463907,К радости (фильм),1950,фильм-драма,Ингмар Бергман
http://www.wikidata.org/entity/Q2249404,Скрудж,1970,музыкальный фильм,"Ним, Рональд"
http://www.wikidata.org/entity/Q2624855,Именно так зло и приходит,1983,фэнтезийный фильм,"Клейтон, Джек"
http://www.wikidata.org/entity/Q287385,Ночи в Роданте,2008,фильм-драма,Джордж С. Вольфе
http://www.wikidata.org/entity/Q1047872,Приключения Пикассо,1978,кинокомедия,Таге Даниэльссон
http://www.wikidata.org/entity/Q652251,Некромантик,1987,фильм ужасов,Йорг Буттгерайт
http://www.wikidata.org/entity/Q3962764,Спящий лагерь 4,2012,фильм ужасов,Роберт Хилцик
http://www.wikidata.org/entity/Q1711517,Юха (фильм),1999,фильм-драма,"Каурисмяки, Аки"
http://www.wikidata.org/entity/Q456017,Удивительная лёгкость,2006,фильм-драма,Майкл Эптед
http://www.wikidata.org/entity/Q1197405,Насаждающий закон,1951,фильм-драма,"Уолш, Рауль"
http://www.wikidata.org/entity/Q20762674,Уйти красиво,2017,фильм-ограбление,Зак Брафф
http://www.wikidata.org/entity/Q707986,Дневник Анны Франк,1959,фильм-драма,"Стивенс, Джордж"
http://www.wikidata.org/entity/Q7773707,Белые нити водопада,1933,фильм-драма,Кэндзи Мидзогути
http://www.wikidata.org/entity/Q602887,Поцелуй понарошку,1998,романтическая комедия,"Эллин, Даг"
http://www.wikidata.org/entity/Q72962,Бешеные псы,1992,фильм-ограбление,Квентин Тарантино
http://www.wikidata.org/entity/Q73457,Год 1914,1932,военный фильм,"Шаро, Генрик"
http://www.wikidata.org/entity/Q1146246,Охота на Веронику,2003,фильм-драма,Джоэл Шумахер
http://www.wikidata.org/entity/Q834165,Луни Тюнз: Снова в деле,2003,боевик,"Данте, Джо"
http://www.wikidata.org/entity/Q2894483,Одиночки,2009,драматическая форма,Ренен Шор
http://www.wikidata.org/entity/Q4144145,Горизонт,1932,фильм-драма,"Кулешов, Лев Владимирович"
http://www.wikidata.org/entity/Q1211134,Полковник Шабер (фильм),1994,экранизация,Ив Анжело
http://www.wikidata.org/entity/Q498442,Космические яйца,1987,кинокомедия,Мел Брукс
http://www.wikidata.org/entity/Q500232,Ночи Гарлема,1989,комедийная драма,Эдди Мёрфи
http://www.wikidata.org/entity/Q16994014,Высотка,2015,фильм-драма,"Уитли, Бен"
http://www.wikidata.org/entity/Q179100,С меня хватит,2002,фильм-драма,Майкл Эптед
http://www.wikidata.org/entity/Q1141493,Наследница,1950,фильм о любви,Уильям Уайлер
http://www.wikidata.org/entity/Q691118,Возвращение живых мертвецов 3,1993,фильм ужасов,Брайан Юзна
http://www.wikidata.org/entity/Q2657831,Префонтейн,1997,фильм-драма,Стив Джеймс
http://www.wikidata.org/entity/Q49018,Летите домой,1996,комедийная драма,Кэррол Бэллард
http://www.wikidata.org/entity/Q272608,Малхолланд Драйв,2001,детективный фильм,Дэвид Линч
http://www.wikidata.org/entity/Q1528825,Лак для волос,1988,фильм-драма,"Уотерс, Джон"
http://www.wikidata.org/entity/Q9212776,Призрак в Монте-Карло (фильм),1990,мелодрама,Джон Хаф
http://www.wikidata.org/entity/Q541445,Быть Флинном,2012,фильм-драма,Пауль Вейц
http://www.wikidata.org/entity/Q28179585,Большой,2017,драма,Валерий Тодоровский
http://www.wikidata.org/entity/Q3655455,Когда я буду мёртвым и белым,1967,фильм-драма,"Павлович, Живоин"
http://www.wikidata.org/entity/Q11571246,Убийца клана Инугами,2006,фильм-драма,Кон Итикава
http://www.wikidata.org/entity/Q3040419,Кровь на солнце,1945,фильм-драма,"Ллойд, Фрэнк"
http://www.wikidata.org/entity/Q23823652,Любовь не по размеру,2016,кинокомедия,Лоран Тирар
http://www.wikidata.org/entity/Q3491788,Капризное лето,1968,кинокомедия,"Менцель, Иржи"
http://www.wikidata.org/entity/Q17344458,Мистер Холмс,2016,детективный фильм,Билл Кондон
http://www.wikidata.org/entity/Q977196,Приключения Форда Фэрлейна,1990,боевик,Ренни Харлин
http://www.wikidata.org/entity/Q1021980,Бабочки-убийцы,1979,литература ужасов,Цуй Харк
http://www.wikidata.org/entity/Q976048,Отель «Новая роза»,1998,научно-фантастический фильм,Абель Феррара
http://www.wikidata.org/entity/Q17182571,Легенды,2015,фильм-биография,Брайан Хелгеленд
http://www.wikidata.org/entity/Q2261264,Безумный секс,1973,кинокомедия,"Ризи, Дино"
http://www.wikidata.org/entity/Q603494,Одержимость,2004,фильм о любви,Пол Макгиган
http://www.wikidata.org/entity/Q300555,Серьёзный человек,2009,комедийная драма,Джоэл Коэн
http://www.wikidata.org/entity/Q15647962,Блондинка в эфире,2014,кинокомедия,Стивен Брилл
http://www.wikidata.org/entity/Q1626134,Марко Поло,1982,фильм-драма,"Монтальдо, Джулиано"
http://www.wikidata.org/entity/Q906633,Посейдон,2006,фильм-драма,"Петерсен, Вольфганг"
http://www.wikidata.org/entity/Q3986596,Детали,2011,комедийная драма,Джейкоб Аарон Эстес
http://www.wikidata.org/entity/Q733570,Большая игра,2009,политический триллер,"Макдональд, Кевин (режиссёр)"
http://www.wikidata.org/entity/Q4525511,Шляпа пана Анатоля,1957,кинокомедия,"Рыбковский, Ян"
http://www.wikidata.org/entity/Q612628,Луна,1979,фильм-драма,Бернардо Бертолуччи
http://www.wikidata.org/entity/Q4389189,Райские птицы (фильм),2008,драма,Роман Гургенович Балаян
